,Model,Feature Set,Noise Std,Accuracy
0,RandomForest,Important,0.0,0.986013986013986
1,RandomForest,Important,0.1,0.986013986013986
2,RandomForest,Important,0.5,0.986013986013986
3,RandomForest,Important,1.0,0.986013986013986
4,RandomForest,Important,2.0,0.986013986013986
5,RandomForest,Unimportant,0.0,0.986013986013986
6,RandomForest,Unimportant,0.1,0.986013986013986
7,RandomForest,Unimportant,0.5,0.986013986013986
8,RandomForest,Unimportant,1.0,0.986013986013986
9,RandomForest,Unimportant,2.0,0.986013986013986
10,DecisionTree,Important,0.0,0.9300699300699301
11,DecisionTree,Important,0.1,0.9300699300699301
12,DecisionTree,Important,0.5,0.9300699300699301
13,DecisionTree,Important,1.0,0.9300699300699301
14,DecisionTree,Important,2.0,0.9300699300699301
15,DecisionTree,Unimportant,0.0,0.9300699300699301
16,DecisionTree,Unimportant,0.1,0.9300699300699301
17,DecisionTree,Unimportant,0.5,0.9300699300699301
18,DecisionTree,Unimportant,1.0,0.9300699300699301
19,DecisionTree,Unimportant,2.0,0.9300699300699301
20,NeuralNetwork,Important,0.0,0.951048951048951
21,NeuralNetwork,Important,0.1,0.951048951048951
22,NeuralNetwork,Important,0.5,0.951048951048951
23,NeuralNetwork,Important,1.0,0.951048951048951
24,NeuralNetwork,Important,2.0,0.951048951048951
25,NeuralNetwork,Unimportant,0.0,0.951048951048951
26,NeuralNetwork,Unimportant,0.1,0.951048951048951
27,NeuralNetwork,Unimportant,0.5,0.951048951048951
28,NeuralNetwork,Unimportant,1.0,0.951048951048951
29,NeuralNetwork,Unimportant,2.0,0.951048951048951
