Trial Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Feature Importance,Importance Ratio,Importance Difference,Degradation in Accuracy Difference,Degradation in Accuracy Ratio
0,3,Baseline,0.4536,0.0,0.0,1,0.0,0.0,1.0
0,3,"noise, std dev 2",0.4288,0.125,0.3581767831612003,0.9988183802294972,0.0004232287683183511,0.02479999999999999,0.945326278659612
0,3,"noise, std dev 2",0.4328,0.25,0.3581767831612003,1.0212698717542774,-0.007618374243198334,0.020799999999999985,0.9541446208112875
0,3,"noise, std dev 2",0.46,0.5,0.3581767831612003,0.996907570700121,0.0011076363787840826,-0.006400000000000017,1.0141093474426808
0,3,"noise, std dev 2",0.4552,0.75,0.3581767831612003,1.001758883388457,-0.0006299911940332303,-0.0015999999999999903,1.00352733686067
0,3,"noise, std dev 2",0.4512,1.0,0.3581767831612003,0.9724876106944815,0.009854299098529196,0.0024000000000000132,0.9947089947089947
0,3,"noise, std dev 2",0.44,1.5,0.3581767831612003,0.993468699899179,0.002339360059972484,0.013600000000000001,0.9700176366843033
0,3,"noise, std dev 2",0.4448,2.0,0.3581767831612003,1.003940828250176,-0.0014115131856388685,0.00880000000000003,0.9805996472663139
0,3,"noise, std dev 2",0.4376,2.5,0.3581767831612003,1.0116427461735475,-0.004170161371603642,0.016000000000000014,0.9647266313932981
0,3,"noise, std dev 2",0.4576,3.0,0.3581767831612003,1.006854076938021,-0.0024549712291996872,-0.0040000000000000036,1.0088183421516754
0,3,"noise, std dev 2",0.4568,3.5,0.3581767831612003,0.9835888852388093,0.005878080293252597,-0.0031999999999999806,1.0070546737213404
0,3,"noise, std dev 2",0.4472,4.0,0.3581767831612003,1.0289676574577116,-0.010375542363918688,0.006400000000000017,0.9858906525573192
0,3,Vertical_Distance_To_Hydrology,0.4496,0.125,0.30384386587931933,1.1251693807242265,-0.038031948528969295,0.0040000000000000036,0.9911816578483245
0,3,Vertical_Distance_To_Hydrology,0.4488,0.25,0.30384386587931933,1.1767777798358772,-0.053712844026896134,0.0048000000000000265,0.9894179894179893
0,3,Vertical_Distance_To_Hydrology,0.4472,0.5,0.30384386587931933,1.1332180612548801,-0.04047749073663076,0.006400000000000017,0.9858906525573192
0,3,Vertical_Distance_To_Hydrology,0.452,0.75,0.30384386587931933,1.1301105392342865,-0.039533289232588475,0.0015999999999999903,0.9964726631393298
0,3,Vertical_Distance_To_Hydrology,0.4424,1.0,0.30384386587931933,1.1407498874781752,-0.042765989933447934,0.011199999999999988,0.9753086419753086
0,3,Vertical_Distance_To_Hydrology,0.4456,1.5,0.30384386587931933,1.1370736289800623,-0.04164898133940964,0.008000000000000007,0.982363315696649
0,3,Vertical_Distance_To_Hydrology,0.436,2.0,0.30384386587931933,1.0955929263935595,-0.029045324306136378,0.017600000000000005,0.9611992945326279
0,3,Vertical_Distance_To_Hydrology,0.4384,2.5,0.30384386587931933,1.1314674204051378,-0.039945569253078794,0.015199999999999991,0.9664902998236332
0,3,Vertical_Distance_To_Hydrology,0.4472,3.0,0.30384386587931933,1.0973187694688011,-0.029569711138018817,0.006400000000000017,0.9858906525573192
0,3,Vertical_Distance_To_Hydrology,0.4624,3.5,0.30384386587931933,1.1030380774707202,-0.03130748779147641,-0.008799999999999975,1.0194003527336861
0,3,Vertical_Distance_To_Hydrology,0.4384,4.0,0.30384386587931933,1.123995627126725,-0.03767531069831476,0.015199999999999991,0.9664902998236332
0,3,Hillshade_3pm,0.4656,0.125,0.3379793509594804,1.064469328118544,-0.021789301674299266,-0.01200000000000001,1.0264550264550265
0,3,Hillshade_3pm,0.4504,0.25,0.3379793509594804,1.0896249518272012,-0.030291383048332177,0.0031999999999999806,0.9929453262786596
0,3,Hillshade_3pm,0.4416,0.5,0.3379793509594804,1.062441864342805,-0.021104060783281198,0.01200000000000001,0.9735449735449735
0,3,Hillshade_3pm,0.444,0.75,0.3379793509594804,1.0687991250437001,-0.023252683628849913,0.009599999999999997,0.9788359788359788
0,3,Hillshade_3pm,0.464,1.0,0.3379793509594804,1.0485767471645928,-0.01641793747841186,-0.01040000000000002,1.0229276895943562
0,3,Hillshade_3pm,0.4464,1.5,0.3379793509594804,1.071039056567454,-0.02400973423144187,0.007199999999999984,0.9841269841269842
0,3,Hillshade_3pm,0.4544,2.0,0.3379793509594804,1.0401407171851251,-0.013566733541276688,-0.0008000000000000229,1.001763668430335
0,3,Hillshade_3pm,0.4368,2.5,0.3379793509594804,1.0153390237270874,-0.0051842732836330785,0.01679999999999998,0.962962962962963
0,3,Hillshade_3pm,0.4408,3.0,0.3379793509594804,1.0534115219874374,-0.018051991535072087,0.012799999999999978,0.9717813051146384
0,3,Hillshade_3pm,0.432,3.5,0.3379793509594804,1.0460393055496,-0.015560334608279047,0.021600000000000008,0.9523809523809523
0,3,Hillshade_3pm,0.412,4.0,0.3379793509594804,1.0544397527895863,-0.01839951231421899,0.041600000000000026,0.9082892416225748
1,3,Baseline,0.4616,0.0,0.0,1,0.0,0.0,1.0
1,3,Vertical_Distance_To_Hydrology,0.4312,0.125,0.32887014746153787,1.1236641757382115,-0.04066945571073516,0.030399999999999983,0.9341421143847487
1,3,Vertical_Distance_To_Hydrology,0.4424,0.25,0.32887014746153787,1.128283474782349,-0.04218860526854956,0.019199999999999995,0.9584055459272097
1,3,Vertical_Distance_To_Hydrology,0.4448,0.5,0.32887014746153787,1.0984532816655155,-0.03237834525941041,0.016800000000000037,0.9636048526863085
1,3,Vertical_Distance_To_Hydrology,0.46,0.75,0.32887014746153787,1.065187983502328,-0.021438381747130864,0.0015999999999999903,0.9965337954939342
1,3,Vertical_Distance_To_Hydrology,0.4592,1.0,0.32887014746153787,1.0914550916599253,-0.030076849480308088,0.0024000000000000132,0.9948006932409011
