Trial Number/Type,Label Noise Prob,Accuracy,Flip Count
0,0.0,0.7504,0.0
1,0.0,0.7224,0.0
2,0.0,0.7128,0.0
3,0.0,0.716,0.0
4,0.0,0.7376,0.0
Average,0.0,0.72784,0.0
0,0.01,0.7552,40.0
1,0.01,0.7304,29.0
2,0.01,0.7088,37.0
3,0.01,0.72,28.0
4,0.01,0.7376,30.0
Average,0.01,0.7303999999999999,32.8
0,0.02,0.7528,78.0
1,0.02,0.7232,69.0
2,0.02,0.7088,71.0
3,0.02,0.708,57.0
4,0.02,0.74,74.0
Average,0.02,0.7265600000000001,69.8
0,0.03,0.7544,115.0
1,0.03,0.724,105.0
2,0.03,0.7064,110.0
3,0.03,0.716,97.0
4,0.03,0.736,111.0
Average,0.03,0.72736,107.6
0,0.04,0.7552,160.0
1,0.04,0.7312,149.0
2,0.04,0.7072,164.0
3,0.04,0.712,134.0
4,0.04,0.744,147.0
Average,0.04,0.7299199999999999,150.8
0,0.05,0.7496,196.0
1,0.05,0.724,183.0
2,0.05,0.7008,211.0
3,0.05,0.7104,171.0
4,0.05,0.7408,181.0
Average,0.05,0.72512,188.4
0,0.06,0.752,248.0
1,0.06,0.7288,221.0
2,0.06,0.7032,251.0
3,0.06,0.7128,200.0
4,0.06,0.74,226.0
Average,0.06,0.72736,229.2
0,0.07,0.7432,279.0
1,0.07,0.7192,253.0
2,0.07,0.708,283.0
3,0.07,0.6944,234.0
4,0.07,0.7416,258.0
Average,0.07,0.7212799999999999,261.4
0,0.08,0.7472,308.0
1,0.08,0.7192,280.0
2,0.08,0.7136,318.0
3,0.08,0.7072,261.0
4,0.08,0.7408,294.0
Average,0.08,0.7256,292.2
0,0.09,0.752,347.0
1,0.09,0.7232,315.0
2,0.09,0.7064,357.0
3,0.09,0.704,300.0
4,0.09,0.7408,333.0
Average,0.09,0.72528,330.4
0,0.1,0.7488,385.0
1,0.1,0.7136,354.0
2,0.1,0.704,398.0
3,0.1,0.7008,340.0
4,0.1,0.7456,373.0
Average,0.1,0.7225600000000001,370.0
0,0.11,0.7544,425.0
1,0.11,0.7264,401.0
2,0.11,0.7056,444.0
3,0.11,0.7072,389.0
4,0.11,0.7392,417.0
Average,0.11,0.72656,415.2
0,0.12,0.7472,464.0
1,0.12,0.7312,438.0
2,0.12,0.7088,481.0
3,0.12,0.7096,418.0
4,0.12,0.724,457.0
Average,0.12,0.72416,451.6
0,0.13,0.7416,492.0
1,0.13,0.7224,479.0
2,0.13,0.7064,508.0
3,0.13,0.6992,458.0
4,0.13,0.7368,500.0
Average,0.13,0.72128,487.4
0,0.14,0.74,528.0
1,0.14,0.7208,522.0
2,0.14,0.6984,539.0
3,0.14,0.7,496.0
4,0.14,0.7312,539.0
Average,0.14,0.7180799999999998,524.8
0,0.15,0.7376,572.0
1,0.15,0.7248,555.0
2,0.15,0.7,582.0
3,0.15,0.7088,525.0
4,0.15,0.7408,572.0
Average,0.15,0.7224,561.2
0,0.16,0.7456,606.0
1,0.16,0.7072,593.0
2,0.16,0.7,614.0
3,0.16,0.696,570.0
4,0.16,0.7352,613.0
Average,0.16,0.7167999999999999,599.2
0,0.17,0.7312,649.0
1,0.17,0.7264,626.0
2,0.17,0.708,651.0
3,0.17,0.712,611.0
4,0.17,0.7464,651.0
Average,0.17,0.7248,637.6
0,0.18,0.7248,683.0
1,0.18,0.7304,663.0
2,0.18,0.7048,696.0
3,0.18,0.7024,644.0
4,0.18,0.7392,690.0
Average,0.18,0.72032,675.2
0,0.19,0.7376,711.0
1,0.19,0.7208,711.0
2,0.19,0.6928,728.0
3,0.19,0.7136,688.0
4,0.19,0.7288,715.0
Average,0.19,0.71872,710.6
0,0.2,0.7256,747.0
1,0.2,0.7224,753.0
2,0.2,0.6904,774.0
3,0.2,0.7064,716.0
4,0.2,0.732,747.0
Average,0.2,0.7153599999999999,747.4
0,0.21,0.732,796.0
1,0.21,0.716,786.0
2,0.21,0.6816,809.0
3,0.21,0.7048,754.0
4,0.21,0.7304,784.0
Average,0.21,0.71296,785.8
0,0.22,0.7288,833.0
1,0.22,0.7208,829.0
2,0.22,0.6768,837.0
3,0.22,0.704,783.0
4,0.22,0.728,818.0
Average,0.22,0.71168,820.0
0,0.23,0.7312,871.0
1,0.23,0.72,863.0
2,0.23,0.696,881.0
3,0.23,0.7024,822.0
4,0.23,0.724,857.0
