Trial Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Feature Importance,Importance Ratio,Importance Difference,Degradation in Accuracy Difference,Degradation in Accuracy Ratio
0,1,Baseline,0.733,0.0,0.0,1.0,0.0,0.0,1.0
0,1,feature 1,0.736,0.125,1.0,1.0,0.0,-0.0030000000000000027,1.004092769440655
0,1,feature 1,0.722,0.25,1.0,1.0,0.0,0.01100000000000001,0.984993178717599
0,1,feature 1,0.745,0.5,1.0,1.0,0.0,-0.01200000000000001,1.0163710777626194
0,1,feature 1,0.728,0.75,1.0,1.0,0.0,0.0050000000000000044,0.9931787175989086
0,1,feature 1,0.731,1.0,1.0,1.0,0.0,0.0020000000000000018,0.9972714870395635
0,1,feature 1,0.74,1.5,1.0,1.0,0.0,-0.007000000000000006,1.009549795361528
0,1,feature 1,0.746,2.0,1.0,1.0,0.0,-0.013000000000000012,1.0177353342428377
0,1,feature 1,0.727,2.5,1.0,1.0,0.0,0.006000000000000005,0.9918144611186903
0,1,feature 1,0.742,3.0,1.0,1.0,0.0,-0.009000000000000008,1.0122783083219646
0,1,feature 1,0.731,3.5,1.0,1.0,0.0,0.0020000000000000018,0.9972714870395635
0,1,feature 1,0.712,4.0,1.0,1.0,0.0,0.02100000000000002,0.9713506139154161
1,1,Baseline,0.733,0.0,0.0,1.0,0.0,0.0,1.0
1,1,feature 1,0.736,0.125,1.0,1.0,0.0,-0.0030000000000000027,1.004092769440655
1,1,feature 1,0.722,0.25,1.0,1.0,0.0,0.01100000000000001,0.984993178717599
1,1,feature 1,0.745,0.5,1.0,1.0,0.0,-0.01200000000000001,1.0163710777626194
1,1,feature 1,0.728,0.75,1.0,1.0,0.0,0.0050000000000000044,0.9931787175989086
1,1,feature 1,0.731,1.0,1.0,1.0,0.0,0.0020000000000000018,0.9972714870395635
1,1,feature 1,0.74,1.5,1.0,1.0,0.0,-0.007000000000000006,1.009549795361528
1,1,feature 1,0.746,2.0,1.0,1.0,0.0,-0.013000000000000012,1.0177353342428377
1,1,feature 1,0.727,2.5,1.0,1.0,0.0,0.006000000000000005,0.9918144611186903
1,1,feature 1,0.742,3.0,1.0,1.0,0.0,-0.009000000000000008,1.0122783083219646
1,1,feature 1,0.731,3.5,1.0,1.0,0.0,0.0020000000000000018,0.9972714870395635
1,1,feature 1,0.712,4.0,1.0,1.0,0.0,0.02100000000000002,0.9713506139154161
2,1,Baseline,0.733,0.0,0.0,1.0,0.0,0.0,1.0
2,1,feature 1,0.736,0.125,1.0,1.0,0.0,-0.0030000000000000027,1.004092769440655
2,1,feature 1,0.722,0.25,1.0,1.0,0.0,0.01100000000000001,0.984993178717599
2,1,feature 1,0.745,0.5,1.0,1.0,0.0,-0.01200000000000001,1.0163710777626194
2,1,feature 1,0.728,0.75,1.0,1.0,0.0,0.0050000000000000044,0.9931787175989086
2,1,feature 1,0.731,1.0,1.0,1.0,0.0,0.0020000000000000018,0.9972714870395635
2,1,feature 1,0.74,1.5,1.0,1.0,0.0,-0.007000000000000006,1.009549795361528
2,1,feature 1,0.746,2.0,1.0,1.0,0.0,-0.013000000000000012,1.0177353342428377
2,1,feature 1,0.727,2.5,1.0,1.0,0.0,0.006000000000000005,0.9918144611186903
2,1,feature 1,0.742,3.0,1.0,1.0,0.0,-0.009000000000000008,1.0122783083219646
2,1,feature 1,0.731,3.5,1.0,1.0,0.0,0.0020000000000000018,0.9972714870395635
2,1,feature 1,0.712,4.0,1.0,1.0,0.0,0.02100000000000002,0.9713506139154161
3,1,Baseline,0.733,0.0,0.0,1.0,0.0,0.0,1.0
3,1,feature 1,0.736,0.125,1.0,1.0,0.0,-0.0030000000000000027,1.004092769440655
3,1,feature 1,0.722,0.25,1.0,1.0,0.0,0.01100000000000001,0.984993178717599
3,1,feature 1,0.745,0.5,1.0,1.0,0.0,-0.01200000000000001,1.0163710777626194
3,1,feature 1,0.728,0.75,1.0,1.0,0.0,0.0050000000000000044,0.9931787175989086
3,1,feature 1,0.731,1.0,1.0,1.0,0.0,0.0020000000000000018,0.9972714870395635
3,1,feature 1,0.74,1.5,1.0,1.0,0.0,-0.007000000000000006,1.009549795361528
3,1,feature 1,0.746,2.0,1.0,1.0,0.0,-0.013000000000000012,1.0177353342428377
3,1,feature 1,0.727,2.5,1.0,1.0,0.0,0.006000000000000005,0.9918144611186903
3,1,feature 1,0.742,3.0,1.0,1.0,0.0,-0.009000000000000008,1.0122783083219646
3,1,feature 1,0.731,3.5,1.0,1.0,0.0,0.0020000000000000018,0.9972714870395635
3,1,feature 1,0.712,4.0,1.0,1.0,0.0,0.02100000000000002,0.9713506139154161
4,1,Baseline,0.754,0.0,0.0,1.0,0.0,0.0,1.0
4,1,feature 2,0.789,0.125,1.0,1.0,0.0,-0.03500000000000003,1.0464190981432362
4,1,feature 2,0.76,0.25,1.0,1.0,0.0,-0.006000000000000005,1.0079575596816976
4,1,feature 2,0.774,0.5,1.0,1.0,0.0,-0.020000000000000018,1.026525198938992
4,1,feature 2,0.777,0.75,1.0,1.0,0.0,-0.02300000000000002,1.030503978779841
4,1,feature 2,0.763,1.0,1.0,1.0,0.0,-0.009000000000000008,1.0119363395225465
4,1,feature 2,0.757,1.5,1.0,1.0,0.0,-0.0030000000000000027,1.0039787798408488
4,1,feature 2,0.747,2.0,1.0,1.0,0.0,0.007000000000000006,0.9907161803713528
4,1,feature 2,0.731,2.5,1.0,1.0,0.0,0.02300000000000002,0.9694960212201591
4,1,feature 2,0.73,3.0,1.0,1.0,0.0,0.02400000000000002,0.9681697612732095
4,1,feature 2,0.749,3.5,1.0,1.0,0.0,0.0050000000000000044,0.993368700265252
4,1,feature 2,0.743,4.0,1.0,1.0,0.0,0.01100000000000001,0.9854111405835544
5,1,Baseline,0.754,0.0,0.0,1.0,0.0,0.0,1.0
5,1,feature 2,0.789,0.125,1.0,1.0,0.0,-0.03500000000000003,1.0464190981432362
5,1,feature 2,0.76,0.25,1.0,1.0,0.0,-0.006000000000000005,1.0079575596816976
5,1,feature 2,0.774,0.5,1.0,1.0,0.0,-0.020000000000000018,1.026525198938992
5,1,feature 2,0.777,0.75,1.0,1.0,0.0,-0.02300000000000002,1.030503978779841
5,1,feature 2,0.763,1.0,1.0,1.0,0.0,-0.009000000000000008,1.0119363395225465
5,1,feature 2,0.757,1.5,1.0,1.0,0.0,-0.0030000000000000027,1.0039787798408488
5,1,feature 2,0.747,2.0,1.0,1.0,0.0,0.007000000000000006,0.9907161803713528
5,1,feature 2,0.731,2.5,1.0,1.0,0.0,0.02300000000000002,0.9694960212201591
5,1,feature 2,0.73,3.0,1.0,1.0,0.0,0.02400000000000002,0.9681697612732095
5,1,feature 2,0.749,3.5,1.0,1.0,0.0,0.0050000000000000044,0.993368700265252
5,1,feature 2,0.743,4.0,1.0,1.0,0.0,0.01100000000000001,0.9854111405835544
6,1,Baseline,0.733,0.0,0.0,1.0,0.0,0.0,1.0
6,1,feature 1,0.736,0.125,1.0,1.0,0.0,-0.0030000000000000027,1.004092769440655
6,1,feature 1,0.722,0.25,1.0,1.0,0.0,0.01100000000000001,0.984993178717599
6,1,feature 1,0.745,0.5,1.0,1.0,0.0,-0.01200000000000001,1.0163710777626194
6,1,feature 1,0.728,0.75,1.0,1.0,0.0,0.0050000000000000044,0.9931787175989086
6,1,feature 1,0.731,1.0,1.0,1.0,0.0,0.0020000000000000018,0.9972714870395635
6,1,feature 1,0.74,1.5,1.0,1.0,0.0,-0.007000000000000006,1.009549795361528
6,1,feature 1,0.746,2.0,1.0,1.0,0.0,-0.013000000000000012,1.0177353342428377
6,1,feature 1,0.727,2.5,1.0,1.0,0.0,0.006000000000000005,0.9918144611186903
6,1,feature 1,0.742,3.0,1.0,1.0,0.0,-0.009000000000000008,1.0122783083219646
6,1,feature 1,0.731,3.5,1.0,1.0,0.0,0.0020000000000000018,0.9972714870395635
6,1,feature 1,0.712,4.0,1.0,1.0,0.0,0.02100000000000002,0.9713506139154161
7,1,Baseline,0.733,0.0,0.0,1.0,0.0,0.0,1.0
7,1,feature 1,0.736,0.125,1.0,1.0,0.0,-0.0030000000000000027,1.004092769440655
7,1,feature 1,0.722,0.25,1.0,1.0,0.0,0.01100000000000001,0.984993178717599
7,1,feature 1,0.745,0.5,1.0,1.0,0.0,-0.01200000000000001,1.0163710777626194
7,1,feature 1,0.728,0.75,1.0,1.0,0.0,0.0050000000000000044,0.9931787175989086
7,1,feature 1,0.731,1.0,1.0,1.0,0.0,0.0020000000000000018,0.9972714870395635
7,1,feature 1,0.74,1.5,1.0,1.0,0.0,-0.007000000000000006,1.009549795361528
7,1,feature 1,0.746,2.0,1.0,1.0,0.0,-0.013000000000000012,1.0177353342428377
